timestamp,from_phase,from_phase_status,from_actor,to_phase,to_actor,to_phase_status
2026-02-05T00:40:25+01:00,bootstrap_comms,completed,devops,requirements,system_analyst,not_started
2026-02-05T00:50:14+01:00,requirements,completed,system_analyst,architecture,architect,in_progress
2026-02-05T00:50:20+01:00,architecture,completed,architect,devops,devops,in_progress
2026-02-05T00:50:26+01:00,devops,completed,devops,backend,backend,in_progress
2026-02-05T00:50:32+01:00,backend,completed,backend,backend_testing,backend_tester,in_progress
2026-02-05T00:50:38+01:00,backend_testing,completed,backend_tester,frontend,frontend,in_progress
2026-02-05T00:50:44+01:00,frontend,completed,frontend,frontend_testing,frontend_tester,in_progress
2026-02-05T00:50:49+01:00,frontend_testing,completed,frontend_tester,integration_testing,integration_tester,in_progress
2026-02-05T00:50:54+01:00,integration_testing,completed,integration_tester,security,security,in_progress
2026-02-05T00:50:59+01:00,security,completed,security,client_acceptance,client,in_progress
2026-02-05T00:51:05+01:00,client_acceptance,completed,client,done,orchestrator,completed
2026-02-05T00:51:17+01:00,workflow,completed,orchestrator,done,orchestrator,completed
2026-02-05T00:55:21+01:00,workflow,restarted,orchestrator,bootstrap_comms,devops,not_started
2026-02-05T00:55:47+01:00,bootstrap_comms,completed,devops,requirements,system_analyst,not_started
2026-02-05T00:56:33+01:00,requirements,completed,system_analyst,architecture,architect,in_progress
2026-02-05T00:58:55+01:00,architecture,completed,architect,devops,devops,in_progress
2026-02-05T00:59:11+01:00,devops,completed,devops,backend,backend,in_progress
2026-02-05T00:59:50+01:00,backend,completed,backend,backend_testing,backend_tester,in_progress
2026-02-05T01:00:37+01:00,workflow,completed,orchestrator,done,orchestrator,completed
